*MTXTDF_ADD_FIVE    Add 5%                                                                        78                       000000000000
*MTXTDF_ADD_TEN     Add 10%                                                                       78                       000000000000
*MTXTDF_ALL_EMPS    All the employees in the list are...                                          78                       000000000000
*MTXTDF_BACK        Back                                                                          30                       000000000000
*MTXTDF_BAD_DEPT    Invalid or blank department code entered                                      78                       000000000000
*MTXTDF_BAD_SALARY  Invalid salary entered                                                        78                       000000000000
*MTXTDF_BIRTHD_MSG  Birthday Msg                                                                  30                       000000000000
*MTXTDF_CALCULATE   Calculate                                                                     20                       000000000000
*MTXTDF_CAN_BE_OPEN Can be left open while working with other business objects                    70                       000000000000
*MTXTDF_CHOOSE_OTHERChoose search method then enter a value.                                      78                       000000000000
*MTXTDF_CHOOSEMONTH Choose a month                                                                40                       000000000000
*MTXTDF_CLICK_FFO   Click for further options                                                     78                       000000000000
*MTXTDF_CLOSE       Close                                                                         10                       000000000000
*MTXTDF_CLR_EMP_LST Clear the current list of employees                                           50                       000000000000
*MTXTDF_CODE        Code                                                                          20                       000000000000
*MTXTDF_CONF_MSG    Confirm Msg                                                                   30                       000000000000
*MTXTDF_CONFIRMDELETDelete selected entries?                                                      78                       000000000000
*MTXTDF_COPY_ALL    Copy all employee details                                                     40                       000000000000
*MTXTDF_CRTEXINSTLSTCreate Example Instance List                                                  50                       000000000000
*MTXTDF_CURR_SEL    All the SELECTED employees are...                                             70                       000000000000
*MTXTDF_DELETE      Delete                                                                        10                       000000000000
*MTXTDF_DEPARTMENT  Department                                                                    15                       000000000000
*MTXTDF_DEPARTMENTS Departments                                                                   78                       000000000000
*MTXTDF_DEPT_CURR   Current Department                                                            20                       000000000000
*MTXTDF_DEPT_DLT    Department successfully deleted                                               70                       000000000000
*MTXTDF_DEPT_INS    Department added to the databse                                               70                       000000000000
*MTXTDF_DEPT_STATS  Departmental Statistics for                                                   50                       000000000000
*MTXTDF_DEPT_UPD    Department details successfully updated                                       70                       000000000000
*MTXTDF_DETAILS     Show Details                                                                  30                       000000000000
*MTXTDF_DET1        See component DF_DET1 (or function DWDET1 (web)) for how it works             70                       000000000000
*MTXTDF_DET10       See component DF_DET10 (or function DWDET10 (web)) for how it works           70                       000000000000
*MTXTDF_DET11       See component DF_DET11 (or function DWDET11 (web)) for how it works           70                       000000000000
*MTXTDF_DET12       See component DF_DET12 (or function DWDET12 (web)) for how it works           70                       000000000000
*MTXTDF_DET13       See component DF_DET13 (or function DWDET13 (web)) for how it works           70                       000000000000
*MTXTDF_DET15       See component DF_DET15 (or function DWDET15 (web)) for how it works           70                       000000000000
*MTXTDF_DET16       See component DF_DET16 (or function DWDET16 (web)) for how it works           78                       000000000000
*MTXTDF_DET16_TITLE Examples of using the "avSwitch" method for programmatic application control: 78                       000000000000
*MTXTDF_DET17       See component DF_DET17 (or function DWDET17 (web)) for how it works           78                       000000000000
*MTXTDF_DET2        See component DF_DET2 (or function DWDET2 (web)) for how it works             70                       000000000000
*MTXTDF_DET20       See component DF_DET20 (or function DWDET20 (web)) for how it works           78                       000000000000
*MTXTDF_DET21       See component DF_DET21 (or function DWT0014 (web)) for how it works           78                       000000000000
*MTXTDF_DET25_LINE01This is the document folder for employee                                      78                       000000000000
*MTXTDF_DET25_LINE02You may add documents to this folder by dragging them from other folders      78                       000000000000
*MTXTDF_DET25_LINE03(e.g. My Documents) and dropping them into the folder below.                  78                       000000000000
*MTXTDF_DET25_LINE04You can copy documents from this folder by dragging them from the folder below78                       000000000000
